ConnectionStatus,Connection,Display name,Cash value,Net liquidation,Gross realized PnL,Realized PnL,Unrealized PnL,Total PnL,Trailing max drawdown,Close,
Connected,Apex Tradovate,Sim101,52625,52625,0,0,0,0,0,,
Connected,Apex Tradovate,PAAPEX3982600000002,52205.84,52205.84,10.5,0,0,0,2453.44,,
Connected,Apex Tradovate,PAAPEX3982600000004,49974.58,49974.58,13,0,0,0,825.620000000003,,
Connected,Apex Tradovate,PAAPEX3982600000003,52205.66,52205.66,13.5,0,0,0,2442.94,,
Connected,Apex Tradovate,PAAPEX3982600000007,51387.92,51387.92,10.5,0,0,0,2207.42,,
Connected,Apex Tradovate,PAAPEX3982600000005,52217.84,52217.84,13.5,0,0,0,2439.7,,
Connected,Apex Tradovate,PAAPEX3982600000008,51452.94,51452.94,10.5,0,0,0,2276.44,,
Connected,Apex Tradovate,PAAPEX3982600000009,52145.6,52145.6,19.5,0,0,0,2439.7,,
Connected,Apex Tradovate,PAAPEX3982600000010,50140.34,50140.34,348.5,0,0,0,1453.24,,
Connected,Apex Tradovate,PAAPEX3982600000012,50914.84,50914.84,316,0,0,0,1986.39999999999,,
Connected,Apex Tradovate,PAAPEX3982600000011,52735.7,52735.7,10.5,0,0,0,2405.2,,
Connected,Apex Tradovate,PAAPEX3982600000015,50799.72,50799.72,335,0,0,0,2004.44,,
Connected,Apex Tradovate,PAAPEX3982600000016,50751.9,50751.9,220,0,0,0,1882.4,,
Connected,Apex Tradovate,SimSim102,51983,51983,0,0,0,0,0,,
Connected,Apex Tradovate,PAAPEX3982600000019,51513.32,51513.32,19.5,0,0,0,2439.7,,
Connected,Apex Tradovate,PAAPEX3982600000021,49989.64,49989.64,256.5,0,0,0,1915.44,,
Connected,Apex Tradovate,PAAPEX3982600000022,49204.78,49204.78,289,0,0,0,1164.64,,
Connected,Apex Tradovate,Sim103,53205,53205,0,0,0,0,0,,
Connected,Apex Tradovate,PAAPEX3982600000023,50247.6,50247.6,80,0,0,0,2312.25,,
Connected,Apex Tradovate,APEX3982600000057,50000,50000,0,0,0,0,2500,,
Connected,Apex Tradovate,APEX3982600000058,50000,50000,0,0,0,0,2500,,
Connected,Apex Tradovate,Sim104,50043,50043,0,0,0,0,0,,
